"","X","height","weight","age","male","temp","time"
"1",1,151.765,47.8256065,63,1,75.8825,23.91280325
"2",2,139.7,36.4858065,63,0,69.85,18.24290325
"3",3,136.525,31.864838,65,0,68.2625,15.932419
"4",4,156.845,53.0419145,41,1,78.4225,26.52095725
"5",5,145.415,41.276872,51,0,72.7075,20.638436
"6",6,163.83,62.992589,35,1,81.915,31.4962945
"7",7,149.225,38.2434755,32,0,74.6125,19.12173775
"8",8,168.91,55.4799715,27,1,84.455,27.73998575
"9",10,165.1,54.487739,54,1,82.55,27.2438695
"10",11,154.305,49.89512,47,0,77.1525,24.94756
"11",12,151.13,41.220173,66,1,75.565,20.6100865
"12",13,144.78,36.0322145,73,0,72.39,18.01610725
"13",15,150.495,33.849303,65.3,0,75.2475,16.9246515
"14",16,163.195,48.5626935,36,1,81.5975,24.28134675
"15",17,157.48,42.3258035,44,1,78.74,21.16290175
"16",18,143.9418,38.3568735,31,0,71.9709,19.17843675
"17",22,161.29,48.987936,39,1,80.645,24.493968
"18",23,156.21,42.7226965,29,0,78.105,21.36134825
"19",26,146.4,35.493574,56,1,73.2,17.746787
"20",27,148.59,37.9032815,45,0,74.295,18.95164075
"21",32,147.955,40.312989,29,1,73.9775,20.1564945
"22",33,161.925,55.111428,30,1,80.9625,27.555714
"23",34,146.05,37.5063885,24,0,73.025,18.75319425
"24",35,146.05,38.498621,35,0,73.025,19.2493105
"25",36,152.7048,46.606578,33,0,76.3524,23.303289
"26",37,142.875,38.838815,27,0,71.4375,19.4194075
"27",38,142.875,35.5786225,32,0,71.4375,17.78931125
"28",39,147.955,47.400364,36,0,73.9775,23.700182
"29",40,160.655,47.8823055,24,1,80.3275,23.94115275
"30",41,151.765,49.4131785,30,1,75.8825,24.70658925
"31",42,162.8648,49.384829,24,1,81.4324,24.6924145
"32",43,171.45,56.5572525,52,1,85.725,28.27862625
"33",44,147.32,39.12231,42,0,73.66,19.561155
"34",50,154.305,41.2485225,55,1,77.1525,20.62426125
"35",51,143.51,38.55532,43,0,71.755,19.27766
"36",57,165.735,58.5984165,42,1,82.8675,29.29920825
"37",58,152.4,46.719976,44,0,76.2,23.359988
"38",59,141.605,44.22522,60,0,70.8025,22.11261
"39",61,155.575,54.317642,37,0,77.7875,27.158821
"40",62,164.465,45.8978405,50,1,82.2325,22.94892025
"41",63,151.765,48.024053,50,0,75.8825,24.0120265
"42",64,161.29,52.219779,31,1,80.645,26.1098895
"43",65,154.305,47.62716,25,0,77.1525,23.81358
"44",66,145.415,45.642695,23,0,72.7075,22.8213475
"45",67,145.415,42.410852,52,0,72.7075,21.205426
"46",68,152.4,36.4858065,79.3,1,76.2,18.24290325
"47",69,163.83,55.9335635,35,1,81.915,27.96678175
