ql,q,qh,pl,p,pu
540.142819,562.8564,585.56998,0,0.000001,0.000015
546.173364,566.713212,587.25306,0,0.00001,0.000127
552.888962,571.022711,589.15646,0,0.0001,0.001009
560.580598,575.986757,591.392916,0,0.001,0.007571
569.817883,582.017375,594.216867,0,0.01,0.051185
582.023921,590.2657,598.507479,0,0.1,0.283214
588.559039,595.058255,601.55747,0,0.25,0.511607
594.719529,600.383131,606.046732,0.213801,0.5,0.786199
599.28487,605.708007,612.131143,0.491456,0.75,1
602.372895,610.500561,618.628227,0.719322,0.9,1
606.68917,618.748887,630.808603,0.949287,0.99,1
609.520229,624.779504,640.03878,0.992492,0.999,1
611.759888,629.74355,647.727212,0.998998,0.9999,1
613.665089,634.053049,654.44101,0.999874,0.99999,1
615.349315,637.909861,660.470408,0.999985,0.999999,1
521.524775,562.8564,579.343613,0,0.000001,0.01449
529.436886,566.713212,581.705404,0,0.00001,0.026232
538.259936,571.022711,584.368243,0,0.0001,0.048068
548.384853,575.986757,587.479435,0,0.001,0.089826
560.595293,582.017375,591.361351,0.000013,0.01,0.173854
576.904293,590.2657,597.052578,0.005559,0.1,0.367678
585.798956,595.058255,600.847076,0.051168,0.25,0.534572
594.169977,600.383131,606.266088,0.228631,0.5,0.766807
599.999479,605.708007,614.116283,0.476562,0.75,0.943019
603.957744,610.500561,622.782871,0.651811,0.9,0.993132
609.778673,618.748887,638.962712,0.843064,0.99,0.99998
613.706522,624.779504,651.139172,0.921349,0.999,1
616.840937,629.74355,661.251118,0.958902,0.9999,1
619.517641,634.053049,670.066432,0.978029,0.99999,1
621.888942,637.909861,677.974161,0.98808,0.999999,1
538.885498,562.8564,586.827302,0,0.000001,0.042982
545.036395,566.713212,588.390029,0,0.00001,0.064364
551.885208,571.022711,590.160215,0,0.0001,0.097675
559.727852,575.986757,592.245662,0,0.001,0.151328
569.142657,582.017375,594.892093,0.000038,0.01,0.243359
581.567733,590.2657,598.963667,0.008579,0.1,0.428655
588.199214,595.058255,601.917295,0.061378,0.25,0.577041
594.405767,600.383131,606.360494,0.224483,0.5,0.775517
598.928888,605.708007,612.487126,0.426926,0.75,0.937385
601.922471,610.500561,619.078651,0.577298,0.9,0.991061
606.021005,618.748887,631.476768,0.762429,0.99,0.999959
608.674905,624.779504,640.884104,0.85321,0.999,1
610.763717,629.74355,648.723383,0.905726,0.9999,1
612.535793,634.053049,655.570305,0.938141,0.99999,1
614.099726,637.909861,661.719997,0.958846,0.999999,1
