i,X,Y,COUNT,RX,EX,TX,ID
1,600,0,1,600,600,600,B0
2,650,1,1,650,650,650,B1
3,625,1,1,625,625,625,B3
4,612,1,1,612,612.5,612,B3
5,606,1,1,606,606,606,B3
6,590,0,1,590,589.72202,590,B4
7,593,0,1,593,592.57327,593,B4
8,611,0,1,611,610.71457,611,B4
9,617,1,1,617,616.87312,617,II1
10,599,1,1,599,599.46481,599,II2
11,590,0,1,590,590.47929,590,II2
12,616,1,1,616,615.73838,616,II2
13,593,1,1,593,592.98765,593,II2
14,584,0,1,584,583.69824,584,II2
15,585,0,1,585,585.31473,585,II2
16,615,1,1,615,615.21183,615,II2
17,587,0,1,587,587.43913,587,II2
18,613,1,1,613,613.33507,613,II2
19,612,1,1,612,612.33356,612,II2
20,589,0,1,589,589.37712,589,II2
21,611,1,1,611,611.06672,611,II2
22,590,0,1,590,590.48436,590,II2
23,610,1,1,610,610.07128,610,II2
24,591,0,1,591,591.3679,591,II2
25,609,1,1,609,609.28164,609,II2
