part,operator,coating_thickness
1,1,0.71
1,1,0.69
1,2,0.56
1,2,0.57
1,3,0.52
1,3,0.54
2,1,0.98
2,1,1
2,2,1.03
2,2,0.96
2,3,1.04
2,3,1.01
3,1,0.77
3,1,0.77
3,2,0.76
3,2,0.76
3,3,0.81
3,3,0.81
4,1,0.86
4,1,0.94
4,2,0.82
4,2,0.78
4,3,0.82
4,3,0.82
5,1,0.51
5,1,0.51
5,2,0.42
5,2,0.42
5,3,0.46
5,3,0.49
6,1,0.71
6,1,0.59
6,2,1
6,2,1.04
6,3,1.04
6,3,1
7,1,0.96
7,1,0.96
7,2,0.94
7,2,0.91
7,3,0.97
7,3,0.95
8,1,0.86
8,1,0.86
8,2,0.72
8,2,0.74
8,3,0.78
8,3,0.78
9,1,0.96
9,1,0.96
9,2,0.97
9,2,0.94
9,3,0.84
9,3,0.81
10,1,0.64
10,1,0.72
10,2,0.56
10,2,0.52
10,3,1.01
10,3,1.01
